Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Log Work,Work Ratio,Security Level,Outward issue link (Cause),Inward issue link (Dependency),Outward issue link (Dependency),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relation),Inward issue link (Relation),Inward issue link (Relation),Outward issue link (Relation),Outward issue link (Relation),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Fix URL),Custom field (Flagged),Custom field (GitHub Pull Request URL),Custom field (Labels),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Database type mappings between 3.3.x and master are different,PHPBB-17035,38294,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,rubencm,rubencm,14/Sep/22 6:43 AM,14/Sep/22 6:43 AM,08/Nov/25 11:12 AM,,4.0.0-a1,,,,,,,,,,,,0,,,,,,,,"In phpBB 3.3.x, UINT from migrations was mapped to MEDIUMINT as you can see [here|https://github.com/phpbb/phpbb/blob/3.3.x/phpBB/phpbb/db/tools/tools.php#L50]

In master branch, because the change of the old dbal to doctrine, UNIT is mapped to Integer, source [here|https://github.com/phpbb/phpbb/blob/master/phpBB/phpbb/db/doctrine/type_converter.php#L30] 

 

This causes the schema of the databases to be diferent between phpBB versions.

[Forum thread|https://www.phpbb.com/community/viewtopic.php?t=2627491]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03mwn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enahnce Wrote variable,PHPBB-16132,36117,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,Leinad4Mind,Leinad4Mind,18/Aug/19 10:44 AM,13/Sep/22 2:11 PM,08/Nov/25 11:12 AM,,3.2.7,3.2.8-RC1,,,,,Posting,,,,,,2,functions_content,quote,,,,,,"Hi there, 

this is something that bothers me since 3.0, so yeah, very old!

 

At functions_content we've this line: 

`$message_parser->message = $quote_attributes['author'] . "" "" . $language->lang('WROTE') . "":\n"" . $message . ""\n"";`

In my language I don't want to have ""Author Wrote:"" but instead ""Wrote by Author""

So I beleive this could be enhance to give the power to the translation file and not be hardcoded like that.

Best regards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03gu7:",,,,,,,,,,,,,,"12/Sep/22 10:14 AM;Leinad4Mind;I would appreciate some love on this one.;;;","13/Sep/22 2:11 PM;rxu;Actually the code mentioned in the ticket description still exists but is not used in 3.3.x. Currently the words order is hardcoded in bbcode.html template so it's not that trivial to solve that.;;;",,,,,,,,,,,,,,,,,,,,
Topic Resynchronization Problem,PHPBB-15727,35336,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,Leinad4Mind,Leinad4Mind,18/Jul/18 9:04 AM,12/Sep/22 9:58 AM,08/Nov/25 11:12 AM,,3.2.2,,,,,,ACP,,,,,,0,database,Resync,topics,,,,,"Topic to look for: [https://www.phpbb.com/community/viewtopic.php?f=556&t=2479116]

Problem: As recommended by mods community, I should resync the topics to fix wrong topic_first_post_id that are present in many of my topics, since I've made a lot of merges between topics. Those merges were made in phpBB 3.0 and 3.2, so I really don't know which of the merges are not taking in account the topic_first_post_id.
Because when merging 2 or more topics, it should fix the topic_first_post_id after the merge. (I still not check if thats happening at 3.2.2).
The problem here is when I want to fix this problem and I run the topic resync at ACP but it doesn't fix the topic_first_post_id.",,,,,,,,,PHPBB-16049,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03dyv:",,,,,,,,,,,,,,"15/Aug/18 10:18 PM;Leinad4Mind;I want to say that I've been able to see that this problems is created too on phpbb 3.2.2. And its not a 3.0 issue. Because I've fix by sql all the topic_first_post_id, and after the fix, I've made more merges and the topic_first_post_id is wrong again. It doesnt sync the data after merging. And that is causing issues with at least one extension (Smart Subject Ext) since that one will only show the option on the 1st post, but the topic_first_post_id is not anymore the 1st post of that topic because of this bug.;;;","07/May/19 8:24 PM;DavidIQ;Bubbling this up for attention.;;;","12/Aug/19 8:55 AM;mrgoldy;What are the exact steps to reproduce? 
As I tried merging a newer topic with an older topic, and the first post id is correct.
And I tried merging an older topic with a newer topic, and the first post id is correct.
What is the exact circumstance when the first post id is not the correct one?
In both cases the _topic_first_post_id_ in my topics table is the correct one.;;;","12/Sep/22 9:58 AM;Leinad4Mind;I wasnt able to see this problem on a 3.3.7 phpBB. 

But most important thing here, and that still matter is that if we've an old database with wrong topic_first_ids and we want to fix it globally, the resync feature should handle it.
Dunno if it already does that, but for what I look into the phpbb files quickly it doesnt seems to fix it already.;;;",,,,,,,,,,,,,,,,,,
408 Request Time-out (Often),WEBSITE-1421,38291,,Improvement,Open,WEBSITE,Website,software,Paul,Bugs related to the phpBB.com website.,https://www.phpbb.com/,Major,,,GanstaZ,GanstaZ,10/Sep/22 2:53 PM,10/Sep/22 3:25 PM,08/Nov/25 11:12 AM,,,,,,,,,,,,,,1,,,,,,,,"As can be seen in Feedback [topic|https://www.phpbb.com/community/viewtopic.php?p=15873976#p15873976], it has been happening for some time now. Some experience random logouts on posting + slow loading while others get very slow loading.",FF latest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03mvz:",,,,,,,,,,,,,,"10/Sep/22 3:25 PM;Random American;I believe this issue also causes me to get logged out randomly as well, and have problems logging back in.;;;",,,,,,,,,,,,,,,,,,,,,
Refactor search as a single mechanism,PHPBB-15797,35487,,Task,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,Hanakin,Hanakin,19/Sep/18 11:29 PM,19/Jun/22 7:11 PM,08/Nov/25 11:12 AM,,4.0.0-a1,,,,,,Search,Styles,,,,,0,Chameleon,,,,,,,"currently, search is handled differently for each way of searching. This leads to multiple seachfeilds on each page which is a UI nightmare. This needs to be completely overhauled for the new theme. We need a single search that is filterable or customizable to handle all of our searching across the entire forum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03egv:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code blocks are incorrectly formatted in Atom feed,PHPBB-16999,38180,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,RichardRussell,RichardRussell,31/May/22 4:54 PM,31/May/22 4:54 PM,08/Nov/25 11:12 AM,,3.3.0,,,,,,Viewing posts,,,,,,0,atom,feed,,,,,,"When a [code][/code] block is represented in an Atom feed, the lines are run-together as one single line, i.e. line breaks within the code block are discarded.  Here is an example:
{code:xml}<div class=""codebox""><p>CODE: </p><pre><code> TIME = 0 FOR I% = 1 TO 10000000 a = PI NEXT PRINT TIME TIME = 0 FOR I% = 1 TO 10000000 LET a = PI NEXT PRINT TIME</code></pre></div>
{code}
The original post looked like this:
{code:java} TIME = 0
 FOR I% = 1 TO 10000000
   a = PI
 NEXT
 PRINT TIME
 TIME = 0
 FOR I% = 1 TO 10000000
   LET a = PI
 NEXT
 PRINT TIME{code}
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03mnr:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSS style for BBCodes,PHPBB-16998,38084,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,'-=ET=-,'-=ET=-,18/May/22 9:28 AM,18/May/22 9:39 AM,08/Nov/25 11:12 AM,,3.3.7,4.0.0-a1,,,,,BBCode Engine,,,,,,0,,,,,,,,"Following the update of the text-formatter to its latest version in phpBB 3.3.5...
https://tracker.phpbb.com/browse/PHPBB3-16867
...and JoshyPHP's comment regarding the <style> element not allowed any more in BBCodes...
https://tracker.phpbb.com/browse/PHPBB3-16884?focusedCommentId=64625&page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel#comment-64625
...I have a suggestion.

Indeed, 3Di's workaround (to move the style code to inline style) works fine in some cases...
https://tracker.phpbb.com/browse/PHPBB3-16884?focusedCommentId=64626&page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel#comment-64626
...but it can't when the CSS code involves pseudo-elements.
Another side effect would be to prevent from using classes to shorten the code and ease the maintenance & personalisation.

So an alternative could be to remove the CSS code from the BBCode and copy/paste it manually into a stylesheet, like common.css, or directly in the header.

But this is something we all try to avoid nowadays.
It was all the purpose of moving from Mods to Extensions, to stop modifying phpBB core files.

Then, the only other alternative is to transform those BBCodes into Extensions.
But it looks like a bit too much to leave the BBCode engine and the easiness of setting up  BBCodes in the ACP just to fix a CSS code location. It's also a heavy process and I'm not sure all BBCode authors affected by the issue will have the skills and will to do it.

So here is my suggestion: why not adding a ""BBCode CSS style"" field in the BBCode setting page?

!image-2022-05-18-11-23-08-727.png!

BBCode authors would have the possibility to:
 - keep using the ACP and BBCode engine for their BBCodes
 - keep using CSS for pseudo-elements
 - keep using CSS classes in their code to shorten it and ease the maintenance & personalisation
 - they would just need to copy/paste the CSS associated to their BBCode in this new field
 - and this CSS would be automatically loaded by phpBB in the header

What do you think about this option?
To me, it looks like the easiest option to fix the consequences of the ban of the <style> element in BBCodes.",,,,,,PHPBB-16867,,,,,,,,,PHPBB-16884,,"18/May/22 9:23 AM;-=ET=-;image-2022-05-18-11-23-08-727.png;https://tracker.phpbb.com/secure/attachment/21723/image-2022-05-18-11-23-08-727.png",,,,,,,,,,,,,,,,,"0|i03mnb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Error if data in profilefield bypass the database field max value,PHPBB-16992,38018,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,rubencm,rubencm,29/Apr/22 5:11 PM,29/Apr/22 11:24 PM,08/Nov/25 11:12 AM,,3.3,,,,,,,,,,,,0,,,,,,,,"When introducing some special characters that are larger when they are html encoded, the maximum length of the database field can be bypassed.
Probably there should be an aditional check to see if the data will fit in the database field.

 !image-2022-04-29-19-10-51-333.png|thumbnail! ",,,,,,,,,,,,,,,,,"29/Apr/22 5:10 PM;rubencm;image-2022-04-29-19-10-51-333.png;https://tracker.phpbb.com/secure/attachment/21630/image-2022-04-29-19-10-51-333.png",,,,,,,,,,,,,,,,,"0|i03mlz:",,,,,,,,,,,,,,"29/Apr/22 11:24 PM;3Di;??Probably there should be an aditional check to see if the data will fit in the database field.??

Or perhaps a new migration that widens this field?;;;",,,,,,,,,,,,,,,,,,,,,
Visting a topic in the styles demo returns 500 error,WEBSITE-1412,37980,,Bug,Open,WEBSITE,Website,software,Paul,Bugs related to the phpBB.com website.,https://www.phpbb.com/,Major,,Paul,danieltj,danieltj,08/Feb/22 11:14 AM,08/Feb/22 12:51 PM,08/Nov/25 11:12 AM,,,,,,,,,,,,,,0,,,,,,,,"# Visit the 3.2 styles demo (I couldn't find a 3.3 demo at all).
 # Visit any topic, like the '[normal topic|https://www.phpbb.com/styles/demo/3.2/board/viewtopic.php?style=1486&f=2&t=1]'.
 # You should see a white page. In my console it states there was an 500 Internal Server Error when the page was requested.

I've tried on Safari & Chrome and both produce the same result.

Original report was made in the phpBB.com forums: [community/viewtopic.php?f=64&t=2613871|https://www.phpbb.com/community/viewtopic.php?f=64&t=2613871]",phpbb.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03mdj:",,,,,,,,,,,,,,"08/Feb/22 11:17 AM;danieltj;It's also worth noting that other pages such as the forum index, forum list, members page, search and FAQ amongst others all work fine without any obvious issues. It's just the view topic page that has this problem.;;;","08/Feb/22 12:40 PM;DavidIQ;@Paul I don't think this is an issue with Titania.;;;",,,,,,,,,,,,,,,,,,,,
Support sphinx tests with PostgreSQL in unit tests,PHPBB-16954,37933,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,Marc,Marc,22/Jan/22 8:03 AM,22/Jan/22 8:04 AM,08/Nov/25 11:12 AM,,,,,,,,Test Suite,,,,,,0,,,,,,,,"PHPBB3-16935 added tests for sphinx search in unit tests as well as on GitHub Actions. These do currently not support using postgres for testing. As part of this ticket, this should be added to our testing suite.",,,,,,,,,,,,,,,PHPBB-16935,,,,,,,,,,,,,,,,,,,"0|i03mav:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use exceptions to handle errors in sqlite3,PHPBB-16903,37834,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,Marc,Marc,29/Oct/21 7:25 PM,29/Oct/21 7:25 PM,08/Nov/25 11:12 AM,,,,,,,,Database Abstraction Layer (DBAL),,,,,,0,,,,,,,,"The current implementation of sqlite3 throws warnings if there are errors. Until PHP 8, these could be silenced with @ but this will no longer work that easily with PHP 8. Instead, we should be using [https://www.php.net/manual/en/sqlite3.enableexceptions.php]. 

It's also possible that use doctrine will make this ticket obsolete.",,,,,,,,,,,,,,,PHPBB-16897,,,,,,,,,,,,,,,,,,,"0|i03lyn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memory exhaustion in topic, forum, and overall feeds due to loading all attachments for all posts",PHPBB-16876,37806,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,Snover,Snover,17/Sep/21 9:28 PM,17/Sep/21 9:29 PM,08/Nov/25 11:12 AM,,3.2.10,3.3.4,,,,,Other,,,,,,0,,,,,,,,"Similar to PHPBB3-14838, calls to {{phpbb\feed\attachments_base::fetch_attachments}} that try to load the attachments from a forum, topic, or list of topics are not properly bounded. If a topic has a large number of attachments, it can lead to memory exhaustion. The query for attachments needs to be _always_ limited to load only the attachments from the specific posts that are going to be displayed in the feed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03lsf:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic Icons Knowledge Base article would be useful,WEBSITE-1406,37800,,Improvement,Open,WEBSITE,Website,software,Paul,Bugs related to the phpBB.com website.,https://www.phpbb.com/,Major,,,P_I,P_I,09/Sep/21 1:15 PM,09/Sep/21 1:15 PM,08/Nov/25 11:12 AM,,,,,,,,Knowledge base,,,,,,0,,,,,,,,"The information in KevC's excellent post [phpBB • 3.3.1 - Topic Icons...What do they mean...?|https://www.phpbb.com/community/viewtopic.php?p=15756286#p15756286] would be extremely useful as a knowledge base article. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03lr3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use dropzone for uploading files,PHPBB-16855,37782,,New Feature,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,Marc,Marc,Marc,24/Aug/21 2:47 PM,24/Aug/21 2:47 PM,08/Nov/25 11:12 AM,,,,,,,,JavaScript / AJAX,Posting,,,,,0,,,,,,,,"We should start replacing plupload with a library that is more well maintained, e.g. https://github.com/dropzone/dropzone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03ln3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretty URLs support,PHPBB-16827,37683,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,DSR!,DSR!,02/Aug/21 1:22 AM,02/Aug/21 4:32 PM,08/Nov/25 11:12 AM,,,,,,,,,,,,,,0,easy,,,,,,,"The *only* forum system that does not support this feature is phpBB... 
 For example with *smf* there were already ways to do it *15 years ago*.

So for some time I have been thinking of some workaround to have that feature without so much work.

I share my idea about it:

1) All urls go through append_sid(), so I think the best thing would be to massively rename the function to url_generation()

2) The $params parameter support string and array. This way the old code would still work.

3) Gradually add where the url_generation() function is used the new values of params that can be used to make our url configurable.

+Example+:
 if I want to transform
{code:java}viewtopic.php?t=1&f=1 {code}
In this
{code:java}/f1-your-first-forum/t1-my-topic-titl{code}
you only need to have the name of the forum and the topic in this url_generation() calls

I think that with an approach like this you could have the feature quickly and it can be gradually improved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03lgn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extension Management with Composer Does Not Work,PHPBB-16231,36251,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,VSE,VSE,26/Nov/19 3:12 AM,04/Jul/21 7:08 PM,08/Nov/25 11:12 AM,,4.0.0-a1,,,,,,Extensions,,,,,,1,,,,,,,,"Trying to install an extension from the extension manager fails. First, the extension fails to install for some reason, so then it wants to throw an exception, but fatally dies because it can't find the exception.",,,,,,,,,,,,,,,,,"26/Nov/19 3:12 AM;VSE;Screen Shot 2019-11-25 at 6.28.23 PM.png;https://tracker.phpbb.com/secure/attachment/20242/Screen+Shot+2019-11-25+at+6.28.23+PM.png",,,,,,,,,,,,,,,,,"0|i03hi7:",,,,,,,,,,,,,,"27/Nov/19 7:02 PM;VSE;OK, digging a little further, there are 2 things going on here.

First, the install fails because of composer, reporting an error basically like:

composer/installers exists as (up to v1.5.0) but v1.6.0 can not be installed because of a requirement constraint.

Since that errors, an exception is then thrown, phpBB's runtime_exception, but as reported in the screenshot above, for some reason that exception can't be auto-loaded.;;;","09/Dec/19 5:07 PM;VSE;Exact composer error:

The requested package composer/installers v1.6.0 exists as composer/installers[v1.0.0, v1.0.1, v1.0.10, v1.0.11, v1.0.12, v1.0.13, v1.0.14, v1.0.15, v1.0.16, v1.0.17, v1.0.18, v1.0.19, v1.0.2, v1.0.20, v1.0.21, v1.0.22, v1.0.23, v1.0.24, v1.0.25, v1.0.3, v1.0.4, v1.0.5, v1.0.6, v1.0.7, v1.0.8, v1.0.9, v1.1.0, v1.2.0, v1.3.0, v1.4.0, v1.5.0] but these are rejected by your constraint.;;;","04/Jul/21 7:08 PM;MattF;Dug a little deeper again. The problem ultimately lies with the composer-ext.lock file. It's just an empty JSON file, so the installer can't understand that lock file compared with the dynamically generated composer-ext.json file, so it wants to throw the error message: 
{code:html}<error>Cannot update only a partial set of packages without a lock file present. Run `composer update` to generate a lock file.</error>{code}

But then of course the thrown errors are not able to be properly handled by phpbb/composer/installer too.;;;",,,,,,,,,,,,,,,,,,,
Review the phpbb\db\migration\data\v320\allowed_schemes_links migration,PHPBB-16807,37598,,Task,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,JoshyPHP,JoshyPHP,30/Jun/21 11:50 PM,01/Jul/21 1:06 AM,08/Nov/25 11:12 AM,,,,,,,,Migrations,,,,,,0,,,,,,,,"I wrote it a long time ago, made it depend on phpbb\db\migration\data\v320\dev for no specific reason (it's probably what the migration I used as a base depended on) but there is an abnormally high number of users who have apparently not run it and I don't know why. It could also be that some users somehow skip some migrations for reasons unknown.

The file is there, it's only 15 lines: [https://github.com/phpbb/phpbb/blob/master/phpBB/phpbb/db/migration/data/v320/allowed_schemes_links.php#L16-L31]

I should add, no need to actually review the file or spend too much time on it, take a quick look and close that ticket if it seems ok.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03lbr:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search.php to services,PHPBB-16756,37423,,Task,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,rubencm,rubencm,rubencm,12/Apr/21 12:07 PM,12/Apr/21 12:07 PM,08/Nov/25 11:12 AM,,4.0.0-a1,,,,,,Search,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03kzj:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create / remove search index logic,PHPBB-16755,37422,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,rubencm,rubencm,10/Apr/21 3:50 PM,10/Apr/21 3:50 PM,08/Nov/25 11:12 AM,,3.3.4-RC1,4.0.0-a1,,,,,Search,,,,,,0,,,,,,,,"When you create a search index, then you can only delete it if you want to recreate it again.

But, if there is no search index, and a post is created, then the post is indexed and in acp it show like if the search index is created, you can't index the previous posts without delete the search index.

I have added a few checks to launch an exception or just do nothing when there is an index already created to avoid that, but it causes some errors in the tests.

I think that only the posts should be indexed if there is an index created, if there isn't an index, the posts should not be indexed. Explained in other way: Have all posts indexed or none, but not only the last posts created since the index was cleared the last time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03kzb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[phpBB Debug] FastImageSize Failed to open stream,PHPBB-16742,37409,,Bug,Confirmed,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,Onnozel Manneke,Onnozel Manneke,28/Mar/21 3:10 PM,02/Apr/21 8:34 PM,08/Nov/25 11:12 AM,,3.3.4-RC1,,,,,,Attachments,,,,,,0,attachments,,,,,,,"I'm receiving this error in a topic with an attachment.
 It's strange, because it's only that 1 topic that gives this error...
 All others with attachments are fine...
{code:java}
[phpBB Debug] PHP Warning: in file [ROOT]/vendor/marc1706/fast-image-size/lib/FastImageSize.php on line 189: file_get_contents(https://www.phpbbnl.be/download/file.php?id=15&amp;mode=view): Failed to open stream: HTTP request failed! HTTP/1.1 403 Forbidden
 [phpBB Debug] PHP Warning: in file [ROOT]/vendor/marc1706/fast-image-size/lib/FastImageSize.php on line 189: file_get_contents(https://www.phpbbnl.be/download/file.php?id=16&amp;mode=view): Failed to open stream: HTTP request failed! HTTP/1.1 403 Forbidden {code}
You can see the error here: https://www.phpbbnl.be/viewtopic.php?f=5&t=8

*I use PHP 8.0.3*
 +The error is gone with PHP 7.4+","PHP: 8.0.3 - FPM Served By nginx
MySQL(i) 10.5.9-MariaDB
Intel(R) Xeon(R) CPU E5-2699 v4 @ 2.20GHz (6 core(s))
CentOS Linux 7.9.2009 (Core)
Plesk Obsidian v18.0.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03kwf:",,,,,,,,,,,,,,"02/Apr/21 7:33 PM;Onnozel Manneke;Any news here?;;;","02/Apr/21 7:50 PM;DavidIQ;According to the error a library is what's causing the error and not phpBB right? So should probably be reported to the author of the library: https://github.com/marc1706/fast-image-size;;;","02/Apr/21 8:34 PM;Onnozel Manneke;Okay let's try that :)

https://github.com/marc1706/fast-image-size/issues/61;;;",,,,,,,,,,,,,,,,,,,
Language choose while register,PHPBB-16702,37187,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,janus_zonstraal,janus_zonstraal,06/Feb/21 9:52 PM,07/Feb/21 12:54 PM,08/Nov/25 11:12 AM,,3.3.0,,,,,,Other,,,,,,0,language,,,,,,,"Choosing a language in the register procedure, lead you back to the register page.

This is very annoying.

Better would be to let you choose the language in a earlier moment.

 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03kmf:",,,,,,,,,,,,,,"06/Feb/21 10:51 PM;3Di;I would not consider it a bug. You chose a language then the procedure is reloaded in order to let you read the agreement using the language of your choice. Perhaps it could be ajaxed, but not a bug at all IMHO.;;;","07/Feb/21 12:23 AM;janus_zonstraal;The point is, you start to fill in the form and half way you can choose your language, after doing that you are redirected to the start and have to fill in the form again.

When the language field is in the beginning of the form it is much better.;;;","07/Feb/21 12:43 AM;3Di;Undoubtedly there is room for improvement, but the main language for guests is the one chosen in ACP by the administrator. I would consider this a request for improvement but certainly not a bug in the code, let alone a major one.;;;","07/Feb/21 8:59 AM;david63;Interestingly if you have Coppa enabled then you get the option at that time to change the language.

I would agree that the option to change language should be at the earliest opportunity.;;;","07/Feb/21 9:15 AM;3Di; Sure thing, not a bug... still.;;;",,,,,,,,,,,,,,,,,
plupload will not work correctly with rotated images in newer browsers,PHPBB-16682,37023,,Bug,Patch Awaiting Review,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,mtn,mtn,13/Jan/21 2:09 AM,20/Jan/21 10:06 PM,08/Nov/25 11:12 AM,,,,,,,,Attachments,Posting,Viewing posts,,,,3,,,,,,,,"Plupload will not work correctly if rotated images are being uploaded and running in any one of the newer browsers implementing auto-image rotation in their canvas. This applies to most, if not all, versions of phpBB since this is new browser thing.

It is very tricky to test this visually since not only can some browsers auto-rotate images, the OS file manager may or may not depending on what version you're using. To be sure, I inserted debug code in plupload.php and in plupload.js . I've tested this on 3 current browsers that implement auto image rotation (Chrome, Edge, and Firefox) and an older Chromium version that does not. I used 4 images with orientation = 1 (normal), 6 and 8 (both 90 degrees), and 3 (180 degrees). I mixed and matched test uploads between browsers in my local test environment.

The incorrect operation is a double rotation, first by virtue of the browser's canvas and second by plupload's rotate code.

A possible solution is (1) put a switch in plupload.js which engages its auto-rotation if the browser does not do it already, and does not auto-rotate if the browser already did it and (2) add some one-time js code somewhere that produces the test variable needed by plupload. I implemented these two, tested it locally, and am currently running it on my forums.

BTW this issue persists whether the EXIF stripping feature is selected or not (since plupload always uses the canvas regardless).

I also posted in a relevant forum thread [here|https://www.phpbb.com/community/viewtopic.php?f=64&t=2429206&start=45]
",upgraded from phpBB v3.2.0 to v3.3.2 (this problem persisted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03khr:",,,,,,,,,,,,,,"13/Jan/21 8:28 AM;3Di;Have you tried this extension?

https://www.phpbb.com/community/viewtopic.php?f=456&t=2477256;;;","13/Jan/21 4:18 PM;mtn;3Di, I have seen your extension. At first glance the restriction of no resizing was a show-stopper for me. But after carefully reading through all the comments, you offered a hard-code modification to your extension to address this. I was intrigued.

Bottom line is that the purist in me wasn't quite satisfied and I wanted to find the root cause. After all, plupload is a pretty complete API package and it ships with phpBB as a core plug-in.

So I have to ask you, why did you take the approach you did by writing this extension? It's a lot of work. If your end goal is to address the elephant in the room and eventually replace plupload, then phpBB needs your extension to become part of the core.

Otherwise, why not have plupload work as intended (including with the ACP EXIF stripping option)?

Thanks.
;;;","13/Jan/21 7:42 PM;3Di;I'm not sure what you're talking about but the logic speaks for itself, the question is whether or not you have tried that extension, as I have. I can ask to reopen the topic if you need support.;;;","13/Jan/21 10:42 PM;mtn;Sorry for not explaining myself better.

Yes, your extension works as advertised. Yes, I have tested it on my forums with sample image rotations and with resizing set to 1920 x … All is good.

I am +respectfully+ saying the following to try and understand a few things:

(1) My understanding is that extensions add new features and functionality to phpBB. Indeed, all the released extensions do just that. Your extension is very important to correct core operation, but it seems to me it's a bug fix.
(2) An extension requires continued support to keep pace with phpBB version releases. Also, your extension is not officially released. Instead, it's in a release form ([ALPHA] vs Extensions Robot) that I don't understand. Your extension also requires hard coding to implement resizing, and a version modification to run with new phpBB releases.

I opened this ticket because I believe some small amount of core code can be modified to also fix this original rotation problem, in which case all of the ACP controls will work as intended (and no extension is required).

So I was simply trying to ask you why the extension approach was taken to solve this problem?
;;;",,,,,,,,,,,,,,,,,,
